event,utc,update,total_updates,steps_seen,policy_loss,value_loss,entropy,mean_ep_reward,win_rate,elapsed_sec
update,2026-03-15T18:21:54Z,1,16,256,-0.0010248348116874695,1.3321671783924103,3.832809031009674,2.4672499999999995,0.0,39.068167209625244
update,2026-03-15T18:22:31Z,2,16,512,-0.00016730278730392456,1.2607647851109505,3.702623665332794,2.16175,0.023809523809523808,76.30897188186646
update,2026-03-15T18:23:11Z,3,16,768,-0.0011056438088417053,1.1817552149295807,3.723602056503296,2.3152499999999994,0.02,115.46185207366943
update,2026-03-15T18:23:50Z,4,16,1024,-0.0011517060920596123,1.0497424080967903,3.7419868409633636,2.17425,0.0,154.55269122123718
update,2026-03-15T18:24:27Z,5,16,1280,-0.0007343182805925608,0.877170629799366,3.7237267792224884,2.09875,0.0,191.92662119865417
update,2026-03-15T18:25:05Z,6,16,1536,-0.0009149163961410522,0.7952521443367004,3.6463527977466583,1.94075,0.0,229.89566826820374
update,2026-03-15T18:25:45Z,7,16,1792,-0.00043424847535789013,0.8018150627613068,3.7129079401493073,1.77025,0.02,269.9618191719055
update,2026-03-15T18:26:23Z,8,16,2048,-0.0010499705094844103,0.6633477136492729,3.8094370365142822,2.5894999999999997,0.02,308.01344299316406
update,2026-03-15T18:27:02Z,9,16,2304,-0.0008597017731517553,0.7781554162502289,3.617948204278946,2.3455,0.0,346.6374161243439
update,2026-03-15T18:27:42Z,10,16,2560,-0.0006188633851706982,0.774248480796814,3.79730686545372,2.1135,0.02,386.54244899749756
update,2026-03-15T18:28:20Z,11,16,2816,-0.0004329262301325798,0.5586490482091904,3.7672157287597656,2.40775,0.02,424.7620961666107
update,2026-03-15T18:28:58Z,12,16,3072,-0.000483247684314847,0.5230670534074306,3.8076612651348114,2.1425,0.02,463.20416498184204
update,2026-03-15T18:29:37Z,13,16,3328,-0.0003354353830218315,0.7764371410012245,3.661612391471863,1.9099999999999997,0.02,501.9650778770447
update,2026-03-15T18:30:15Z,14,16,3584,-0.0012690252624452114,0.8327062427997589,3.760472297668457,2.421,0.02,540.362386226654
update,2026-03-15T18:30:54Z,15,16,3840,-0.0011999602429568768,0.6915623024106026,3.573285937309265,1.92075,0.0,579.0341291427612
update,2026-03-15T18:31:34Z,16,16,4096,-0.0009438979905098677,1.0561600774526596,3.7891518473625183,2.8335,0.04,619.3522028923035
